"Website","ReversalID","OrderID","CreationDate","Quantity","Currency","ReversalStatus","ReversalAmountState","ReversalReason","DirectDebitRefundAmount"
"Amazon.com","TDewhQF0SYyqlQjniD2W3Q","103-9004305-8703402","2013-05-28T14:41:57Z","5","USD","Completed","Final","Customer return","0"
"Amazon.com","TDewhQF0SYyqlQjniD2W3Q","103-9004305-8703402","2013-05-28T14:41:57Z","5","USD","Completed","Final","Customer return","0"
"Amazon.com","k/Jhm5wlS7yAXAqfFYhZiA","112-0675211-4801038","2013-01-03T23:35:53Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","DPS0X98cRxCKvmIImRFWNw","002-2342702-3950654","2012-10-25T16:16:50Z","2","USD","Completed","Final","Customer return","0"
"Amazon.com","DPS0X98cRxCKvmIImRFWNw","002-2342702-3950654","2012-10-25T16:16:50Z","2","USD","Completed","Final","Customer return","0"
"Amazon.com","t34sh6lrQue0ZVqwYZjIGQ","002-7306180-6466643","2012-09-17T12:12:20Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","gSzrJJi1TgaG/L6dqtAbjA","103-3690927-0128235","2012-07-03T08:25:27Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","L1ibrqNcTuGE9dqu4qe7Pw","002-2459510-9171426","2012-06-12T05:03:43Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","kL7A3SJfR3iasriWrCsDrg","103-0864201-2246654","2012-02-13T04:08:56Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","sJrvT8IoRESi9UhR14oy7A","002-0648493-8288223","2012-01-27T05:27:01Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","3BVPeXMyTAqfosF9UFggMg","104-4321484-6018656","2012-01-24T14:35:16Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","WGjSj+geRiKH9Fw3+GTxlA","002-5011598-5487450","2012-01-17T16:30:45Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","ndUuS8sJRmGX55XfdHEqiA","002-5011598-5487450","2012-01-13T11:07:19Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","blG/GCo9QbGvX6LJLUiRzQ","105-8718286-5353018","2011-08-16T15:13:02Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","blG/GCo9QbGvX6LJLUiRzQ","105-8718286-5353018","2011-08-16T15:13:02Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","J/Z7BTf/TL24pS1bLAC1Tw","103-9263452-6822668","2011-01-17T16:56:29Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","w6fafn79RA6INJhK9rD9Aw","105-1746638-2355439","2009-12-16T00:44:12Z","1","USD","Completed","Final","Account adjustment","0"
