DigitalOrderItemId,DeliveryPacketId,AffectedItemQuantity,TransactionAmount,BaseCurrencyCode,ClaimCode,FXTransactionAmount,FXCurrencyCode,MonetaryComponentTypeCode,OfferTypeCode
Q41620BN4DBS59K9KPIQ62CSCLMFL0UG4N7AMH3N0HIUBSFEBJKG,K27OLMNPMRPNN9IPKU9552V37JBVIF44A1J5J11CTGJB6AAR29O0,1,7.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
Q41620BN4DBS59K9KPIQ62CSCLMFL0UG4N7AMH3N0HIUBSFEBJKG,K27OLMNPMRPNN9IPKU9552V37JBVIF44A1J5J11CTGJB6AAR29O0,1,0.83,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
HNNIP04357K2DAQJ28KR5235NQ9F0VSJLP11O99S5FPLAAP05100,T9OTER1F44J6VK1TB2RB9DGAJEU9BU37EI5C5FN79517K48A5K10,1,3.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
HNNIP04357K2DAQJ28KR5235NQ9F0VSJLP11O99S5FPLAAP05100,T9OTER1F44J6VK1TB2RB9DGAJEU9BU37EI5C5FN79517K48A5K10,1,0.41,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
208L9SE0VOH0M5NF8MLI0P59NK5A0S3B5VCICFKROCLTU9VMAIBG,FR1870M9JDAUU03GC0BSAMB6LAG5CEURJVRTDM45BEE59D4QS490,1,0.51,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
208L9SE0VOH0M5NF8MLI0P59NK5A0S3B5VCICFKROCLTU9VMAIBG,FR1870M9JDAUU03GC0BSAMB6LAG5CEURJVRTDM45BEE59D4QS490,1,4.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
LEF9VOITQGUIOBPM89J4QDAIV880IPS8VHAV61ISD5V12MMQD2J0,U654MCPISU5LT1QGTMPTS6S0BEDQU5TLDL4ON2OJSL8JOVSQH1J0,1,0.41,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
LEF9VOITQGUIOBPM89J4QDAIV880IPS8VHAV61ISD5V12MMQD2J0,U654MCPISU5LT1QGTMPTS6S0BEDQU5TLDL4ON2OJSL8JOVSQH1J0,1,3.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
6DPB0H0A3J508GK2SADC6TRQPTQHIOO93A5B2B7ENHD3GQ6H53MG,EUR0PON7BTQSRI3TM2I1PV3DEK0HPB02KT4A22GB4J42VC7G3RCG,1,139.0,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
6DPB0H0A3J508GK2SADC6TRQPTQHIOO93A5B2B7ENHD3GQ6H53MG,EUR0PON7BTQSRI3TM2I1PV3DEK0HPB02KT4A22GB4J42VC7G3RCG,1,14.25,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
